t,accCmpX,accCmpY,accCmpZ
694,11.3806,0.14715,-17.8748
695,11.6336,0.14715,-18.1278
696,12.4456,0.36297,-18.5474
697,12.7293,0.36297,-18.8312
698,12.6477,0.36297,-18.7495
699,11.9675,-3.1343,-12.2592
700,10.959,-4.97413,-11.927
701,10.2547,-0.409652,-1.59973
702,9.30202,-6.6643,-10.9794
703,8.23767,0.37278,-14.1923
704,8.66246,0.24525,-14.9703
705,9.19813,0.24525,-15.506
706,11.4245,0.00981,-17.1437
707,12.577,0.00981,-18.2962
708,12.3797,0.0981,-18.4718
709,12.2914,0.0981,-18.3834
710,11.9364,0.0981,-18.7348
711,11.3236,0.0981,-18.1219
712,10.5654,0.0981,-17.3638
713,10.4501,-0.00981,-16.444
714,10.3237,-0.00981,-16.3176
715,9.63471,0.44145,-16.8745
716,8.98981,0.44145,-16.2296
717,8.2843,0.44145,-15.5241
718,7.13123,0.32373,-12.9191
719,5.85726,0.32373,-11.6452
720,4.52458,0.32373,-10.3125
721,1.95117,0.14715,-9.03399
722,2.55645,-0.05886,-8.96238
723,3.11491,-0.05886,-9.52084
724,3.67321,-0.05886,-10.0791
725,2.17958,0.17658,-8.61494
726,0.740634,0.17658,-7.17599
727,1.20549,0.35316,-7.63104
728,1.53589,0.35316,-7.96144
729,1.86003,0.35316,-8.28558
730,4.57416,0.23544,-10.5681
731,7.25693,0.23544,-13.2508
732,8.48266,-0.753378,-3.47591
733,9.43728,-0.666199,-2.52819
734,10.287,-0.566893,-1.68461
735,11.4632,0.14715,-17.6729
736,12.3183,0.14715,-18.5281
737,12.7158,0.14715,-18.9255
738,12.61,0.34335,-18.8001
739,12.4353,0.34335,-18.6254
740,11.7088,-4.26458,-11.7761
741,10.3733,-6.06637,-11.3361
742,10.9653,0.28449,-17.4006
743,11.5641,0.28449,-17.9995
744,12.0516,0.28449,-18.487
745,12.6899,0.33354,-17.9284
746,12.493,0.26487,-18.33
747,12.3559,0.26487,-18.1929
748,12.1899,0.26487,-18.0268
749,11.9948,0.26487,-17.8318
750,12.6867,-0.10791,-18.9357
751,12.8897,0.000513708,-10.0293
752,12.6245,0.03924,-19.3542
