timestamp (ms),GPS_Lon,Cal_Lon
998909.8220214844,35.1546053,35.1561211
999009.8220214844,35.1546474,35.1561424
999109.8220214844,35.1546474,35.1561667
999209.8220214844,35.1546896,35.156188
999309.8220214844,35.1546896,35.1562124
999409.8220214844,35.1546896,35.1562368
999509.8220214844,35.1547319,35.1562582
999609.8220214844,35.1547319,35.1562826
999709.8220214844,35.1548168,35.1563035
999809.8220214844,35.1548168,35.1563281
999909.8220214844,35.1548168,35.1563527
1000009.8220214844,35.1548595,35.1563744
1000109.8220214844,35.1548595,35.1563989
1000209.8220214844,35.1549023,35.1564206
1000309.8220214844,35.1549023,35.1564452
1000409.8220214844,35.1549023,35.1564698
1000509.8220214844,35.154945,35.1564915
1000609.8220214844,35.154945,35.1565161
1000709.8220214844,35.1550309,35.1565375
